ID,제목,국가,카테고리점수,style
31,"한국 문학, 일본에서 읽히는 이유는 - 생생한 인물, 사회 문제 등 닮은 듯 다른 우리들의 공감",일본,0,기타
32,"필리핀 한국문화원, 11월의 'Kolorful Adventure' 일정 공개",필리핀,0,기타
33,11월 5일~12일 주 예술문화 행사 일정,아르헨티나,0,기타
34,"넷플릭스, ‘오징어 게임’으로 한국에서 골머리 앓아",스페인,20,영화/드라마
35,벨기에 한국문화원 전시 “What Makes Me Wander”,벨기에,0,기타
36,악사라이(Aksaray)에서 한-터키 역사 세미나 개최,터키,0,기타
37,"北, Ai 활용 7개국어 번역프로그램 개발",카자흐스탄,0,기타
38,"英 옥스퍼드 사전, 한국어 단어 26개 추가",카자흐스탄,0,기타
39,박항서 감독 대한민국 스포츠 영웅상 후보에 올랐다,베트남,0,기타
40,"갯마을 차차차 스타 김선호와 다른 한국 연예인들, 캔슬 컬처에 어떻게 대항하고 있는가?",홍콩,10,영화/드라마
41,"랑종, 한국 스릴러 느낌의 태국 공포영화",태국,0,기타
42,[르포] 수입 제품 원산지 조사: 좋은 산과 좋은 물이 좋은 술을 만든다…韓 막걸리 양조장 취재,중국,0,기타
43,"‘오징어 게임’이 맘에 들지 않았다면, 이런 한국 드라마는 어떨까?",스페인,10,영화/드라마
44,韓의 대명절 ‘추석’을 맞이한 카자흐 서부지역,카자흐스탄,0,기타
45,한국의 맛을 느껴보세요!,카자흐스탄,0,기타
46,10월 2주 누르술탄 문화행사 리스트,카자흐스탄,0,기타
47,"‘마리 퀴리’, 여성 노벨수상자에 관한 한국 뮤지컬",폴란드,0,기타
48,‘상하이’에서 한국 여행…中 국제수입박람회 한국 식품관,중국,0,기타
49,한 조각씩 해체해 복원된 향원정,미국,0,기타
50,"부산바다미술제, 바다를 재해석하다",영국,0,기타
51,5명이 총상으로 사망한 한 파티장에서 ‘오징어 게임’을 시뮬레이션,스페인,10,영화/드라마
52,벨기에 한국문화원 전시 “Whant Makes Me Wander”,벨기에,0,기타
53,"[분석] 의학 드라마, 메스보다 더 많은 ‘인간성’",중국,10,영화/드라마
54,"한국, 차기 엔터테인먼트 블록버스터 계획 중",영국,100,KPOP
55,아스타나 오픈 권순우...韓테니스 두 번째 우승,카자흐스탄,0,기타
56,"韓 ‘오징어 게임’, 넷플릭스 시청률 1위",카자흐스탄,20,영화/드라마
57,넷플릭스가 ‘오징어 게임’으로 키우는 전례 없는 현상,스페인,10,영화/드라마
58,"박상훈 주스페인한국대사, 어렸을 때 ‘오징어 게임’도 했다",스페인,10,영화/드라마
59,서울의 한 공원에 나타난 ‘오징어 게임’ 인형,스페인,10,영화/드라마
60,주스페인 한국문화원 ‘오감도’ 전시,스페인,0,기타
61,"‘오징어 게임’의 저주받은 인형, 서울의 한 공원에 모습을 나타내",스페인,10,영화/드라마
62,"‘오징어 게임’의 무시무시한 인형, 서울 올림픽 공원에 배치",스페인,10,영화/드라마
63,한국 문화가 어떻게 패션에 영향을 미쳤는가?,스페인,0,기타
64,‘오징어 게임’ 대세로 떠오른 한국어 배우기,스페인,10,영화/드라마
65,"서울의 한 애견샵, ‘오징어 게임’에서 영감 받은 강아지 비스킷 제작",스페인,10,영화/드라마
66,"오감도’, 한국 미술의 다섯 가지 장면",스페인,0,기타
67,"코리아우드’ , 미국에 도전하는 새로운 글로벌 드림팩토리",스페인,0,기타
68,팝(Pop)과 파워(Power) ‘오징어 게임’시리즈라는 문화수출,독일,210,KPOP
69,"권순우, 한국인 2번째 ATP투어 단식 우승",카자흐스탄,0,기타
70,꿈은 이루어진다: 한국관광사연공모전(11p),카자흐스탄,0,기타
71,"영화 ‘쓰리’, 내년 초 韓서 개봉예정 (4p)",카자흐스탄,10,영화/드라마
72,우정과 화합의 상징 ? 추석 (1p),카자흐스탄,0,기타
73,"韓, 카자흐 꺾고 아시아핸드볼선수권 4강 진출",카자흐스탄,0,기타
74,IFSC 스포츠클라이밍 서울 월드컵 취소,카자흐스탄,0,기타
75,"한국과 멕시코시티, 제50회 세르반티노 페스티벌 주빈자격으로 참가",멕시코,0,기타
76,"한국과 멕시코 시티, 제50회 세르반티노 축제에 주빈자격으로 참가",멕시코,0,기타
77,한국 전통 연 전시회…현지 작가들 대거 참여,아르헨티나,0,기타
78,"제50회 세르반테노 축제에 한국 주빈국으로, 멕시코 시티 주빈주로  참가",멕시코,0,기타
79,슈퍼 히어로와 오징어 게임: 위니펙 상점에서 가장 인기 있는 할로윈 의상,캐나다,10,영화/드라마
80,스트리밍 뷔페,인도,0,기타
81,"인코센터, 이은희 작품 전시",인도,0,기타
82,하이데라바드에 최초의 한식당이 생겼다,인도,0,기타
83,한국영화 속 한국의 삶에 내재된 슬픔과 어두움,인도네시아,10,영화/드라마
84,영화 없이 극장 팝콘을 즐기는 법을 터득한 나라,미국,10,영화/드라마
85,시부노-배선우 선두 여자골프 제2일,일본,0,기타
86,"?All That Cinema 조제,호랑이 그리고 물고기들",일본,0,기타
87,"""파이터, 북에서 온 도전자"" 감독 윤재호",일본,0,기타
88,한국에서 즐길 수 있는 최고의 것들,영국,0,기타
89,"아시아 대중문화가 유행하지만, 아시아계 인종차별도 마찬가지",캐나다,0,기타
90,[특집] 겨울의 약속으로·한국편,중국,0,기타
91,2022년 베이징 동계올림픽 D-100,호주,0,기타
92,"호주 올림픽 선수단장, ‘호주 선수들이 중국의 운영방식 존중해야’",호주,0,기타
93,한국계 마블의 도약,호주,0,기타
94,"넷플릭스 오징어 게임, 전 세계 이목 사로잡아... 동시에 논란 일으켜",호주,20,영화/드라마
95,"극한 폭력성의 오징어 게임, 어떻게 어린이 대상 컨텐츠로 파고들었나",호주,10,영화/드라마
96,"한국문화, 아르헨티나 청소년들과 젊은이들을 매료시키다",아르헨티나,-1,음식/뷰티
97,시즌 2에 한 발짝 더 다가선 ‘오징어 게임,스페인,10,영화/드라마
98,"주스페인한국문화원 전시, ‘새로운 한국 아이덴티티’",스페인,0,기타
99,"김치는 무엇이며, 프로바이오틱스 효능은 무엇인가?",스페인,0,기타
100,"이케르 히메네스, ‘오징어 게임’에 대한 자신의 의견 명확히 표현",스페인,10,영화/드라마
101,"‘오징어 게임’, 한국의 시위현장 장악",스페인,10,영화/드라마
102,"오징어 게임’의 경찰, 위하준의 철복근을 위한 트레이닝",스페인,10,영화/드라마
103,"'오징어 게임’의 경찰, 위하준의 철복근을 위한 트레이닝",스페인,10,영화/드라마
104,‘오징어 게임’의 가장 잘 지켜진 비밀 중 하나인 시리즈가 촬영된 섬이 어디인지 밝혀,스페인,10,영화/드라마
105,"한국 ‘오징어 게임’의 달고나 테스트, 우세라의 한 식당에서",스페인,10,영화/드라마
106,안은미 한국 무용가 세비야 공연,스페인,0,기타
107,"넷플릭스, ‘오징어 게임’의 성공을 ‘지옥’의 괴물들로 계속 이어나가길 희망",스페인,20,영화/드라마
108,'오징어 게임’ 저 너머에 있는 넷플릭스 한국 드라마들,스페인,20,영화/드라마
109,유명한 넷플릭스 한국 시리즈 ‘오징어 게임’에 영감을 준 신비한 한국의 섬,스페인,30,영화/드라마
110,"‘오징어 게임’의 상금은 얼마이며, 무엇을 살 수 있는가?",스페인,10,영화/드라마
111,이 멋진 문화에 한 발짝 더 다가서게 하는 한국 전통 요리,스페인,-1,음식/뷰티
112,"K-위크’, 영화를 통해 한국을 바라보는 창",스페인,0,기타
113,‘오징어 게임’이 드러낸 한국의 가혹한 현실,스페인,10,영화/드라마
114,"한국의 게임, 왜 그것이 엄청난 문화적 영향력을 끼치는가?",스페인,0,기타
115,식품산업 : 달고나와 사탕의 경제,인도네시아,0,기타
116,"'오징어 게임' 위장한 가짜 사이트 확인, 인기드라마 정보유출 우려",일본,10,영화/드라마
117,영화 싱크홀로 2021 한국-인도네시아 영화제 시작,인도네시아,20,영화/드라마
118,"2021 한국-인니 영화제 개최, Vidio에서 무료영화 관람하세요",인도네시아,10,영화/드라마
119,"할로윈 추천 의상: 리사, 오징어게임 등",태국,200,KPOP
120,"문화부, 부리람 지역 관광지 방문",태국,0,기타
121,"홍콩에서 오징어 게임 체험, 홍콩 한국문화원 행사에 그 밖에 다양한 즐길거리 준비",홍콩,10,영화/드라마
122,"오징어게임 등장인물들, 감독의 인생을 바탕으로 구축",프랑스,0,기타
123,일상 서서히 정상 회복하면서 '오징어 게임' 테마 빌리는 한국 관광지들,태국,10,영화/드라마
124,"오징어 게임으로 전 세계의 주목 받은 달고나 게임, 누군가에겐 한국의 어린시절 떠오르게 해",호주,10,영화/드라마
125,"한국관광공사 영상, 조회 수 3000만 뷰 돌파",캐나다,0,기타
126,한국의 오징어 게임에서 호주 엔터테인먼트 사업이 배울 점,호주,110,KPOP
127,"오징어 게임 황동혁 감독, 비하인드 스토리 밝혀",호주,10,영화/드라마
128,"오징어게임과 ‘번역불가’의 영역, 자막 번역 논쟁에 대한 설명",호주,0,기타
129,"오징어게임, 넷플릭스 ‘사상 최대 시리즈’",호주,20,영화/드라마
130,"오징어게임, 브리저튼 제치고 넷플릭스 사상 최대 시리즈 등극",호주,20,영화/드라마
131,"황동혁 감독, 오징어 게임 시즌 2 구상 중?",호주,10,영화/드라마
132,우리가 팝 문화를 ‘k’와 함께 표기하는 이유,호주,100,KPOP
133,일부 학교는 잠재적인 폭력 메시지로 인해 오징어 게임 금지시켜,미국,10,영화/드라마
134,한러 상호교류의해 일환으로 200개 이상 행사 시행,러시아,0,기타
135,"‘오징어 게임’ 제작자, 드라마의 승자만큼은 벌지 못해",스페인,20,영화/드라마
136,"‘지옥’, 넷플릭스에서 새로운 성공을 가져다 줄 모든 요인을 갖춘 한국 드라마",스페인,10,영화/드라마
137,"‘오징어 게임’, 1번 배우 인생 이렇게 달라졌다",스페인,20,영화/드라마
138,북한과 남한에 대한 알려지지 않은 정보,터키,0,기타
139,"한국의 e스포츠 재능 보유자, 대기업과 게임 규제 완화로 힘 얻어",영국,0,기타
140,미국의 할로윈을 자국의 문화로 변형해 즐기는 한국과 일본,미국,0,기타
141,"케이팝에서 오징어 게임까지, 왜 한국 문화가 라틴 아메리카 깊숙히 스며들었을까?",러시아,10,영화/드라마
142,무궁화 꽃이 피었습니다,멕시코,0,기타
143,(특파원 메모) 한일 맺는 명장의 찻잔 (문경에서),일본,0,기타
144,"한일 맺는 명장의 찻그릇, 스즈키",일본,0,기타
145,"오징어게임 인형, 서울 올림픽공원에서 전시",브라질,0,기타
146,"안은미 무용가, 세비야 중앙극장에서 독재에 대한 비평을 담은 ‘북한춤’ 선보여",스페인,0,기타
147,‘오징어 게임’속 한국의 6가지 정치현실,스페인,10,영화/드라마
148,‘K-위크’ 한국문화행사 마드리드에서 개최,스페인,0,기타
149,10.18∼24일까지 마드리드 문화행사,스페인,0,기타
150,"중국, 최악의 에너지 위기 속 3만개의 ‘오징어 게임’ 마스크 제작",스페인,10,영화/드라마
151,"한국의 문화, 마드리드 콜론 광장에",스페인,0,기타
152,"마드리드 한국주간에 해야 할 것들: 강남 스타일 댄스, 태권도, 화장품",스페인,100,KPOP
153,헤수스 팔라시오스 추천 드라마,스페인,10,영화/드라마
154,"마드리드의 한 학교, ‘오징어 게임’과 관련된 것들 금지",스페인,10,영화/드라마
155,"‘오징어 게임’ 주인공들, 스타가 되다",스페인,10,영화/드라마
156,"모델에서 ‘오징어 게임’의 스타로, 정호연의 또 다른 삶",스페인,10,영화/드라마
157,"‘오징어 게임’, 넷플릭스 역사상 가장 많이 시청한 드라마",스페인,30,영화/드라마
158,"넷플릭스, ‘오징어 게임’ 역사상 가장 많이 본 드라마라고 발표",스페인,20,영화/드라마
159,"북한, ‘오징어 게임’의 성공을 선전물로 활용",스페인,10,영화/드라마
160,한국에서 사망자가 발생하지 않는 ‘오징어 게임’의 리얼 버전 행사 진행,스페인,10,영화/드라마
161,"‘오징어 게임’, 할리우드가 더 이상 할 수 없는 것을 하는 한국 드라마",스페인,20,영화/드라마
162,"文대통령, BTS 특별대사로 임명(13p)",카자흐스탄,100,KPOP
163,"韓배우 윤여정, 타임지 ‘가장 영향력 있는 100인’에 선정되다(11p)",카자흐스탄,20,영화/드라마
164,온라인으로 추석을 맞이하자(3p),카자흐스탄,0,기타
165,서울올림픽의 33주년,카자흐스탄,0,기타
166,오징어 게임이 헝가리인들의 성공이기도 한가,헝가리,10,영화/드라마
167,"이번 아카데미, 국제장편영화상 출품 더 활발해져",중국,10,영화/드라마
168,2021 한국-인도네시아 영화제 CGV에서 개최,인도네시아,10,영화/드라마
169,제주도에서 힐링하기 : 3명의 여성들이 알려주는 제주도 시크릿 가이드 ? 제주 흑돼지에서 등대섬까지,싱가포르,0,기타
170,"11곳의 안식처 : 프랑스에서 보내는 크리스마스부터 잠들지 않는 한국의 새벽 4시 모습까지, VTL 여행지에서 당신이 해야 할 모든 것",싱가포르,0,기타
171,"골퍼 고진영, 세계 1위 복귀",베트남,0,기타
172,"'살아있는 연극', 제13회 코르도바 메르코수르 국제연극제",아르헨티나,0,기타
173,"‘킹덤’ 시나리오 작가 김은희, 한국 드라마를 새로운 시대로 이끌어",미국,0,기타
174,"‘오징어 게임’, 아마존을 점령한 넷플릭스 시리즈물의 의상",스페인,20,영화/드라마
175,‘종이의 집’ 한국 버전,스페인,0,기타
176,"'오징어 게임’의 경찰, 위하준은 누구인가?",스페인,10,영화/드라마
177,<오징어 게임> 창작자: ‘나는 그렇게 부자가 아니다. 넷플릭스가 보너스를 지급한 것도 아니고’,영국,10,영화/드라마
178,한국의 허황옥 여왕과 아요디아와의 연결,인도,0,기타
179,"임희정, 한국에서 열린 LPGA 토너먼트에서 4타로 리드",인도,0,기타
180,"체육청, 가상 체육대회 개최",태국,0,기타
181,"막걸리·청주·소주 등 전통주 회복 20~30대 지지, 술 담그는 사람도 젊은층",일본,0,기타
182,"한국, 넷플릭스에 비판 분출 ""사용료 안 내고 회선 이용"" ""오징어 게임"" 히트, 환원 적어",일본,10,영화/드라마
183,"카자흐 영화 ‘From’, 부산국제영화제서 초연",카자흐스탄,10,영화/드라마
184,"고진영, 세계 골프 1위 재석권",스웨덴,0,기타
185,모두가 이야기하는 한국식 ‘K-팝 다이어트’,스페인,100,KPOP
186,"전시-‘책거리, 한국의 정물화",스페인,0,기타
187,"‘오징어게임’열풍 - NRW주 학교 운동장, 잔혹한 폭력 마주하게 될까",독일,0,기타
188,"덴마크 오픈: PV 신두, 한국의 안세영에게 준준결승에서 패배",인도,0,기타
189,한국 선수들이 홈 LPGA 골프 대회를 이끌고 있다,인도,0,기타
190,할리우드 배우 러셀 크로의 홍보에 감사,태국,10,영화/드라마
191,"리사, 안드레아 보첼리 푸켓에서 새해맞이 공연",태국,200,KPOP
192,"나딤 마카림 문화교육부 장관, 한복-바틱 패션쇼 극찬",인도네시아,0,기타
193,2021 한국-인도네시아 영화제(KIFF) 상영작 안내,인도네시아,10,영화/드라마
194,한국의 문화적 영향력이 한국을 보다 강하게 만드는가?,영국,0,기타
195,"주인도한국문화원, 제3회 코리아 앰배서더 컵 전인도 태권도 선수권 대회 개최",인도,0,기타
196,"인도 관객, 한국 왕과 인도 공주의 사랑 이야기를 알게 되다",인도,0,기타
197,함께 진화한다,인도,0,기타
198,"손흥민 골, 한국이 시리아에 승리",인도,0,기타
199,"코리아 페스티벌 2021: 콘서트, 전시회 등 UAE 내 행사들",UAE,100,KPOP
200,아리랑에 부는 바람,멕시코,0,기타
201,'나는 시간을 따른다': 한 작품을 그리는데 30년이 걸린 어느 작가의 이야기,미국,0,기타
202,"‘오징어 게임’, 한국 노동자 시위 장악",스페인,10,영화/드라마
203,한국문화의 달 행사에서 바띡으로 만든 한복과 한복으로 만든 인니전통의상이 선보인다,인도네시아,0,기타
204,"2021 한국-인도네시아 영화제에서 1,200원 에 '인질' 관람 가능",인도네시아,10,영화/드라마
205,디지털방송·최전선 : 엔터테인먼트로부터 한국문화에 흥미를,일본,0,기타
206,<WBS 월드비지니스새터라이트> 오징어 게임이 공헌,일본,10,영화/드라마
207,넷플릭스 '오징어 게임' 이 넷플릭스를 구한다. 한국드라마로 회원 증가 회복,일본,20,영화/드라마
208,"넷플릭스 45개국 작품을 2억명에게, 7~9월 회원 440만명 증가, 「오징어 게임」전세계 히트",일본,20,영화/드라마
209,'오징어 게임’ 넷플릭스 성장에 동력,스페인,20,영화/드라마
210,‘오징어 게임’ 그 이상인 제7회 바르샤바 한국영화제,폴란드,20,영화/드라마
211,넷플릭스가 흥행작으로 시청자들을 즐겁게 하는 것은 아직 끝나지 않았다,영국,0,기타
212,"방탄소년단, 'PERMISSION TO DANCE ON STAGE' 온라인 콘서트 공식 스트리밍 가이드 공개",인도,200,KPOP
213,"방탄소년단: 팬사인회에서 진, RM, 슈가가 말다툼하던 시절",인도,200,KPOP
214,한국문화원이 개관 10주년을 맞아 다양한 행사 마련,터키,0,기타
215,"K팝, 김치, 카르나타카",인도,99,영화/드라마
216,한국 축제,인도,0,기타
217,"카자흐스탄, 아시아배구선수권 조별리그 예선서 韓에 패배",카자흐스탄,0,기타
218,그 사이로 강이 흐른다,인도,0,기타
219,"순수 그릿: 현재 세계 21위인 한국의 프로 임성재, 인내의 게임을 펼친다",인도,0,기타
220,영화 ‘붉은 석류’...부산국제영화제 본선 경쟁부문 진출(3p),카자흐스탄,10,영화/드라마
221,"일본, 이란전에 좌절한 한국, FIFA 월드컵 예선 희망 부활",인도,0,기타
222,"올림픽 2회 챔피언 심석희, 동료를 발 걸어 넘어뜨린 이유로 한국 대표팀에서 쫓겨났다",인도,0,기타
223,한국어가 포함된 인도 생활어,인도,0,기타
224,인도-한국 뮤지컬 '스리라트나 공주의 전설' 인도에 개봉,인도,0,기타
225,"韓 디자인 분야 최대 규모 신제품 런칭쇼 ‘DDP 디자인페어’, 서울서 개막",중국,0,기타
226,'오징어 게임' 1.4억 가구 시청 7-9월(3분기) 순이익 8할 증가 넷플릭스,일본,20,영화/드라마
227,"김선호 사태, 한국에서 낙태는 합법인가 불법인가?",인도네시아,10,영화/드라마
228,"독일 자를란트주 매체관리청, 넷플릭스 시리즈 ‘오징어게임’시청 주의 요구",독일,20,영화/드라마
229,"넷플릭스, '오징어 게임'으로 플랫폼 신규 가입자 4백4십만 명 늘었다며 해당 시리즈 극찬",미국,30,영화/드라마
230,"'오징어 게임' 코스튬, 온라인 구매 할로윈 복장 중 상위권 등극",미국,10,영화/드라마
231,여성이 유교적 의식을 지휘하며 한국에 새로운 길을 열다,미국,0,기타
232,"한국인 김선태 중국 쇼트트랙 감독, 안현수는 기술 코치로 선임",중국,0,기타
233,넷플릭스 회원 증가 회복세 성공… 한국 '오징어 게임'이 공헌,일본,20,영화/드라마
234,해외 영화제작사들 다수 태국에서 영화 촬영,태국,10,영화/드라마
235,영화 ‘붉은 석류’...부산국제영화제 본선 경쟁부문 진출,카자흐스탄,10,영화/드라마
236,안녕하세요! 관광객 환영하는 한국,말레이시아,0,기타
237,전환! 韓 해외여행 ‘기지개’…여행 수요 점차 회복돼,중국,0,기타
238,"세르반테스 문화원장, 서울에 세르반테스 문화원을 개원할 것과 2022년에 새로운 스페인어 연구소를 창설할 것을 확신",스페인,0,기타
239,영화 <죽여주는 여자> 리뷰 - 서울 변두리에서 인생 이야기를 이끌어 가는 윤여정 배우,영국,30,영화/드라마
240,<오징어 게임> 때문에 판매율 7800% 증가한 클래식 운동화,아르헨티나,10,영화/드라마
241,"영화 ‘붉은 석류’, 부산국제영화제 뉴커런츠 선정...본선 경쟁부문 진출",카자흐스탄,10,영화/드라마
242,"호텔 및 야외 이벤트 공급 업체, 실제 '오징어 게임' 개최",헝가리,10,영화/드라마
243,"한국계 전 독일 아이스하키선수 마틴 현, “아이스하키에서 여전히 ‘인내의 문화’가 보여”",독일,0,기타
244,"배수아 작가, “모두를 위한 글을 쓰고 싶지 않아”",독일,0,기타
245,"한국어 단어 익히기 - 언니, 오빠, 그리고 트로트 열풍",독일,0,기타
246,쇼팽 콩쿠르에서 영광을 위해 겨루는 젊은 피아니스트들,태국,0,기타
247,"오징어게임, 한국의 경제적 불평등을 반영",인도네시아,0,기타
248,부에노스아이레스 최고의 한국 요리 레스토랑,아르헨티나,-1,음식/뷰티
249,며칠 간 한국의 수도(로 변모한) 마드리드,스페인,0,기타
250,'오징어 게임’ 애호가를 위해 넷플릭스에서 볼 수 있는 한국 영화와 드라마,스페인,20,영화/드라마
251,오스만 제국의 수도 부르사의 한국 관광 대사,터키,0,기타
252,오징어 게임: 한국의 최신 현상,베트남,10,영화/드라마
253,K-POP 팬들을 위한 온라인 콘테스트!,카자흐스탄,100,KPOP
254,러셀 크로의 소프트파워 선물,태국,0,기타
255,"한국문화원, K-POP 커버댄스 콘테스트 개최",카자흐스탄,100,KPOP
256,"수묵의 독백, 수묵화의 - 다채로움 선보이다!",카자흐스탄,0,기타
257,"한국문화원, 온라인 한국 문화 퀴즈대회 개최",카자흐스탄,0,기타
258,한국 문화 탐구하기 ? 좋아하는 드라마·영화·음악,영국,120,KPOP
259,온라인 K-POP 커버댄스 콘테스트 개최,카자흐스탄,100,KPOP
260,기염(?炎) 사회의 축소판 (오징어게임),일본,0,기타
261,추동! 식품경제…韓 온라인 한우축제 개최,중국,0,기타
262,한류: 서울은 아시아의 미술 수도가 될 수 있을 것인가?,영국,0,기타
263,제575회 한글날: 제14회 전인도 한국어 말하기 대회 16개 한국어교육원 106명 참가자,인도,0,기타
264,"한국 쇼트트랙 심석희 선수, 누설된 문자 메시지 이후 대표팀 훈련에서 배제",미국,0,기타
265,넷플릭스에 반대하는 스페인 번역가들,스페인,0,기타
266,말라사냐(마드리드 핫플레이스) 구역에 ‘한옥’,스페인,0,기타
267,무용가 안은미 인터뷰: 자유를 갈망하다,독일,0,기타
268,'오징어 게임' 첫 달 기록 경신,헝가리,10,영화/드라마
269,"대만 꺾은 신태용, 인도네시아가 나를 자랑스럽게 하다",인도네시아,0,기타
270,"오징어 게임, Netflix의 '역사상 가장 성공한' 시리즈",캐나다,30,영화/드라마
271,"한국의 오징어 게임, Netflix의 가장 큰 오리지널 쇼 데뷔작",캐나다,20,영화/드라마
272,아르헨티나 '한국 주간',아르헨티나,0,기타
273,한국에서 상트페테르부르크 음악원 개교160주년 기념 음악회 개최,러시아,0,기타
274,"한국, (오징어 게임 성공에) 미지근한 반응 그리고 (넷플릭스에) 종속당할까 우려",프랑스,10,영화/드라마
275,오징어 게임 : 공포물 러시,프랑스,10,영화/드라마
276,갯마을 차차차... 한류의 ‘소프트 파워’,필리핀,10,영화/드라마
277,놀라운 서울,아르헨티나,0,기타
278,첫 실제 오징어게임 아부다비에서 열려,UAE,0,기타
279,"한국 박물관의 설치 미술 전시회, 관람객들이 솔직해지도록 만들다",인도네시아,0,기타
280,'오징어게임' 인기에 전세계 한국어 배우기 열풍,인도네시아,0,기타
281,'오징어게임' 전세계를 휩쓸다. 넷플릭스 판 '한류'는 어째서 이렇게 성공했을까?,중국,10,영화/드라마
282,"13개의 대학교, 한글날 맞이 행사 개최",베트남,0,기타
283,장엄한 영상 매핑쇼로 두 나라의 형제애를 보여줬다,터키,0,기타
284,터키와 한국의 형제애 이야기가 감동시켰습니다,터키,0,기타
285,"아랍에미리트 한국문화원, '오징어 게임' 이벤트 주최",프랑스,10,영화/드라마
286,넷플릭스가 차단된 중국 내 한국 드라마 ‘오징어 게임’ 히트 중,싱가포르,20,영화/드라마
287,"불법 스트리밍, 굿즈 대박…중국을 강타한 오징어 게임 열풍",프랑스,10,영화/드라마
288,어나더 스토리 사랑의 불시착 ? 국경을 넘은 대 히트의 비밀,일본,20,영화/드라마
289,아르헨티나에서 공식 기념일 가지게 된 '김치' 레시피,아르헨티나,-1,음식/뷰티
290,'오징어 게임'과 한국 대중 문화의 성공이 계속해서 사람들을 놀라게 하는 이유는?,캐나다,10,영화/드라마
291,한국 여자 쇼트트랙 심석희 2018년 SMS로 대표팀 훈련 제외,러시아,0,기타
292,오징어 게임? BTS? 손흥민이야 말로 '한류'의 최정상,홍콩,110,KPOP
293,‘오징어 게임’의 매력에 사로잡혀...,호주,10,영화/드라마
294,오징어 게임의 눈부신 성공... 놀랍고 빠져들게 해,호주,10,영화/드라마
295,디스토피아 그린 ‘오징어 게임’ 공감할만 한 이야기,호주,10,영화/드라마
296,오징어 게임의 넷플릭스 영어 자막/더빙 번역에 관한 온라인 논쟁,호주,20,영화/드라마
297,"비 한국인의‘오징어 게임’시청, 자막 vs 더빙?",호주,10,영화/드라마
298,넷플릭스 ‘오징어 게임’ 실제 번호 노출 장면 편집,호주,20,영화/드라마
299,넷플릭스 ‘오징어 게임’그 누구도 원하지 않았던 디스토피아 히트작,호주,20,영화/드라마
300,넷플릭스 ‘오징어 게임’ 엔딩에 관해,호주,20,영화/드라마
301,‘오징어 게임’성공 속 SK브로드밴드-넷플릭스 망 사용료 이슈로 소송,호주,20,영화/드라마
302,사회적 불평등과 과도한 폭력성... ‘오징어 게임’이 스트리밍 현상이 되고 있는 이유,호주,10,영화/드라마
303,"오징어게임, 한국의 자본주의 반영",인도네시아,0,기타
304,오징어게임 흥행에 달고나 판매 호황,인도네시아,0,기타
